 Category, Value, Question, Answer
SPORTS,$200 ,Since the 1950s players from this continent have been the dominant force in table tennis,Asia
SPORTS,$300 ,This piece of fencing equipment is made of strong wire mesh & may be padded,a mask
SPORTS,$400 ,In swimming the butterfly stroke originated as a modification of this similar stroke,breaststroke
SPORTS,$500 ,"The origins of tennis go back to jeu de paume, a game in which the ball was struck with this body part",the palm of the hand
MUSIC,$100 ,"2-word ""bread-spread"" term for an impromptu performance by jazz musicians",jam session
MUSIC,$200 ,"One common type of this Russian lute usually has its three strings tuned to E, E & A above middle C",Balalaika
MUSIC,$300 ,Josef Lanner was one of the first composers to write music for this dance that evolved from the landler,Waltz
MUSIC,$400 ,"This 9-letter word can refer to any singer in a church, but in England it often means a choirboy",Chorister
MUSIC,$500 ,"Italian for ""going""; it's a musical direction to play in a moderate walking tempo",Andante
SPORTS,$200 ,"In 1988 after 8 seasons as the NHL's MVP, this center was traded by Edmonton to the L.A. Kings",Wayne Gretzky
SPORTS,$400 ,In 1991 Digger Phelps retired as coach of this school's basketball team with 393 career victories,Notre Dame
ANIMALS,$100 ,The silky & Yorkshire are toy breeds of this dog,Terrier
ANIMALS,$200 ,"Perhaps referring to its erratic behavior, the gnu is also called this",Wildebeest
ANIMALS,$300 ,The 2 popular breeds of dairy cattle named for Britain's 2 largest Channel Islands,Jersey & Guernsey
ANIMALS,$400 ,"Up to 50 feet in length, the whale species of this fish is the largest in the sea",Shark
ANIMALS,$500 ,"In summer, when its coat is brown, the ermine is referred to by this name",Stoat/Weasel
SPORTS,$100 ,At the 1924 Olympics he broke the 1-minute barrier in the 100-meter freestyle & he wasn't swinging on vines,Johnny Weissmuller
SPORTS,$200 ,In 1999 Nestor Chylak was the first of these inducted into the Baseball Hall of Fame since Bill McGowan in 1982,Umpire
SPORTS,$300 ,In 1994 this Dallas Cowboy scored 22 touchdowns; in 1995 he topped that with 25,Emmitt Smith
SPORTS,$400 ,In 1993 Werner Gunther of Switzerland threw one of these 72 feet 1 inch,Shot Put
SPORTS,$500 ,He was riding Affirmed in 1978 when he became the youngest jockey to win the Triple Crown,Steve Cauthen
HISTORY,$100 ,"The third of these military expeditions was led by Frederick I Barbarossa, Philip II & Richard the Lion-Hearted",the Crusades
HISTORY,$200 ,In 1513 he reached & named Florida,Ponce de León
HISTORY,$300 ,"In 1718 the British tracked down & killed this ""dark"" pirate in a North Carolina inlet",Blackbeard
HISTORY,$300 ,In 1946 the Ivory Coast was made an overseas territory of this country; in 1960 it gained its independence,France
HISTORY,$500 ,The treaty that ended the Russo-Japanese War in 1905 was named for this New Hampshire city,Portsmouth
ANIMALS,$200 ,"If a weasel pops by for lunch in the cold winter, you'll notice its coat is this color",White
ANIMALS,$400 ,Dabbling types of these include the pintail & teal,Ducks
ANIMALS,$100 ,The monkey-eating species of this bird lives in the Philippines; the bald species lives in the U.S.,the eagle
ANIMALS,$200 ,These birds range in size from the 1-foot blue to the 4-foot emperor,the penguin
ANIMALS,$300 ,"Group of mammals seen <a href=""http://www.j-archive.com/media/1998-06-01_J_28.jpg"" target=""_blank"">here</a>:  [like Timon in <i>The Lion King</i>]",meerkats
ANIMALS,$400 ,"It has webbed, padded toes & can drink over 20 gallons of water in a single drink",the camel
ANIMALS,$500 ,"This land animal can weigh more than 8,000 pounds & can open its immense jaws 150 degrees",the hippopotamus
ANIMALS,$100 ,"LIke other male bovines, adult male yaks are called these",Bulls
ANIMALS,$200 ,A hinny has an ass for a mother & one of these animals for a father,Horse
ANIMALS,$300 ,"To escape predators, many lizards break off this body part; it later regenerates",Tail
ANIMALS,$400 ,These stinging arachnids give birth to live young which cling to their mother's backs for several days,Scorpions
ANIMALS,$500 ,"This bear-like carnivore, a large member of the weasel family, is also known as the glutton",Wolverine
SPORTS,$100 ,"Game where ""dribbling"" is ""offensive""",basketball
SPORTS,$200 ,From early practice of pitcher facing west comes this baseball term for lefty,southpaw
SPORTS,$300 ,Football's imaginary plane which neither team may cross until the ball is snapped,the line of scrimmage
SPORTS,$400 ,"World's fastest sport, free-fall speeds of 614 MPH have been recorded in this",skydiving
SPORTS,$500 ,'50s middleweight champ some say was pound-for-pound the best boxer ever,Sugar Ray Robinson
SPORTS,$100 ,"According to USGA rules, 1 of 2 types of golf course hazards",Bunker & Water
SPORTS,$200 ,In 1987 Jim Abbott became the 1st in this sport to win the Sullivan Award for amateur athletes,baseball
SPORTS,$300 ,"In women's Olympic fencing, only this weapon is used",the foil
SPORTS,$400 ,1 of 2 National Hockey League teams to retire Gordie Howe's uniform number,Detroit Red Wings & Hartford Whalers
SPORTS,$500 ,The 3 cities that the National Football League Cardinals have represented,"Chicago, St. Louis & Phoenix"
MUSIC,$200 ,"In 1891 this Russian composer conducted his own ""Marche Solennelle"" opening week at Carnegie Hall",Tchaikovsky
MUSIC,$400 ,"Maria Theresa kissed him when he played for her court, but in France, Mme. de Pompadour refused to do so",W.A. Mozart
MUSIC,$100 ,"The ""lamento"" type of this operatic solo is a feature of early Italian operas",Aria
MUSIC,$200 ,This cellist is the son of a composer from Shanghai & a mezzo-soprano from Hong Kong,Yo-Yo Ma
MUSIC,$300 ,"An 1829 visit to Holyrood Palace in this city inspired Mendelssohn's ""Scottish Symphony""",Edinburgh
MUSIC,$400 ,This American pianist was in his 20s when he won the Tchaikovsky competition in Moscow in 1958,Van Cliburn
MUSIC,$500 ,"Composer who wrote the famous Hungarian Rhapsody No. 15, ""The Rakoczy March"", heard here",Franz Liszt
HISTORY,$200 ,"In the first Punic War, the troops of his father, Hamilcar Barca, were defeated by the Romans in Sicily",Hannibal
HISTORY,$500 ,"Abdicating the imperial throne on August 6, 1806, Francis II was its last ruler",the Holy Roman Empire
MUSIC,$200 ,"To perform Prokofiev's ""Romeo & Juliet"" an orchestra needs a pair of these gourd rattles",Maracas
MUSIC,$400 ,"Mozart dedicated 6 string quartets to this Austrian composer of ""The Creation""",Franz Josef Haydn
SPORTS,$100 ,Nickname for a football,a pigskin
SPORTS,$200 ,A filly becomes a mare at this age,4
SPORTS,$300 ,"According to rules, the strike zone in baseball extends from the batter's knees to here",his armpits
SPORTS,$400 ,This bowl game changes location every year,the Super Bowl
SPORTS,$500 ,The number of laps run in the Indy 500,200
SPORTS,$100 ,In 1957 this Cleveland team's Lou Groza became the first to lead the NFL in scoring without a touchdown,Browns
SPORTS,$200 ,"Fielding positions in this British game include wicketkeeper, square leg & gully",Cricket
SPORTS,$300 ,In 1995 the NHL's Quebec Nordiques moved to this city & became the Colorado Avalanche,Denver
SPORTS,$400 ,This Houston Rockets center won the NBA's Most Valuable Player award in 1994,Hakeem Olajuwon
SPORTS,$500 ,"With 30 tournament wins, Lisa Wagner is the women's career leader in this sport",Bowling
MOVIES,$100 ,"This ""Road Warrior"" became a ""Lethal Weapon"" in 1987",Mel Gibson
MOVIES,$200 ,"In ""20,000 Leagues Under the Sea"", James Mason played this slightly screwy sub skipper",Captain Nemo
MOVIES,$300 ,Richard Burton had a devil of a time directing himself in the film version of this Marlowe tragedy,"""Dr. Faustus"""
MOVIES,$400 ,"As TV reporter Kimberly Wells, she gave glowing reports in ""The China Syndrome""",Jane Fonda
MOVIES,$500 ,"In ""Father Goose"" he played a beachcomber who secretly spotted enemy planes during WWII",Cary Grant
ANIMALS,$400 ,"The World Wildlife Fund is working with the Chinese on a detailed survey of pandas & this, their only food",bamboo
MOVIES,$200 ,Barbra Streisand plays a psychiatrist in this 1991 film which she also directed & co-produced,"""The Prince of Tides"""
MOVIES,$400 ,Julia Roberts plays a law student on the run in this movie based on a John Grisham novel,"""The Pelican Brief"""
ANIMALS,$100 ,"The fact that this lizard's name is from the Greek for ""ground lion"" never changes",chameleon
ANIMALS,$200 ,"A giraffe's tail, which is about 3 feet long, is used to swat this bloodsucking fly that causes sleeping sickness",tsetse fly
ANIMALS,$300 ,"The suni, a small one of these graceful African mammals, is barely 15 inches high",antelope
ANIMALS,$400 ,"The common type of this marsupial has coarse, thick fur while that of the hairy-nosed is short & silky",wombat
ANIMALS,$200 ,"This bird's whooping call is said to carry 2 miles, & its courtship displays include a leaping dance",whooping crane
HISTORY,$100 ,A potato famine during the 1840s caused this island's population to decline by about 2 million,Ireland
HISTORY,$200 ,The Treaty of Versailles ended this war & set up the League of Nations,World War I
HISTORY,$300 ,Hernando Cortes conquered the Aztecs & Francisco Pizarro conquered this Indian empire,Incan
HISTORY,$400 ,"By the end of his reign in 1786, Frederick the Great doubled this kingdom's area",Prussia
HISTORY,$500 ,In 1977 this Ugandan leader survived at least one assassination attempt & 2 attempted coups,Idi Amin
MUSIC,$200 ,"Bop & bebop, which emerged in the 1940s, are styles of this type of music that debuted decades earlier",jazz
MUSIC,$400 ,"The French name of this 1897 orchestral scherzo is ""L'apprenti sorcier""",The Sorcerer's Apprentice
HISTORY,$400 ,"Stone tools were first used during this period known as the ""Old Stone Age""",Paleolithic
SPORTS,$100 ,In soccer only this player can touch the ball with his hands,Goalkeeper
SPORTS,$200 ,"This Toronto baseball club chose its name from more than 4,000 submitted by fans",Blue Jays
SPORTS,$300 ,"This New Jersey hockey team, Stanley Cup winners in 1995, didn't make the playoffs in 1996",New Jersey Devils
SPORTS,$400 ,"At the 1994 Olympics, this U.S. woman speed skater surpassed Eric Heiden's medal total",Bonnie Blair
SPORTS,$500 ,"This university's Orangemen routed Clemson 41-0 in the Jan. 1, 1996 Gator Bowl",Syracuse
HISTORY,$100 ,Legend says in 1811 & 1812 earthquakes on the Midwest's New Madrid Fault made this river run backwards,Mississippi River
HISTORY,$200 ,"Around 1200 this city became capital of a Muslim empire in India; its ""New"" version is India's capital today",Delhi
HISTORY,$300 ,Pope Paul III was a leader in this movement whose name implies it opposed Protestantism,the Counter-Reformation
HISTORY,$400 ,"""Rich"" in democracy, this country held some of Central America's first free elections in the 1890s",Costa Rica
HISTORY,$500 ,"This ""Great"" king who died in 4 B.C. married Mariamne, the last princess of the Maccabees' line",Herod the Great
HISTORY,$400 ,"During the 1930s America went through a period of hardship and poverty known as the ""Great"" this",Depression
HISTORY,$100 ,"From 1905-7, Austria & Serbia fought an economic ""war"" over tariffs, such as over this porcine animal",a pig
HISTORY,$200 ,The western jury system is thought to have been brought to England by these peoples in 1066,the Normans
HISTORY,$300 ,"Century known as the ""high Renaissance""",the 16th
HISTORY,$400 ,World power whose emperor gave up claims to divinity before it adopted a new constitution in 1947,Japan
HISTORY,$500 ,1957 U.S. policy allowing the president to use armed force in the Middle East,the Eisenhower Doctrine
SPORTS,$400 ,"In 2008 Kelvin Sampson found he could no longer phone it in as hoops coach of this ""Hoosier"" school",Indiana
ANIMALS,$400 ,Facial feature mentioned in the longer version of the platypus' name,duck bill
ANIMALS,$100 ,Most of the quills on the thin-spined species of this rodent are on its head,the porcupine
ANIMALS,$200 ,1 of only 2 species of eagle to breed in the U.S. & Canada,the golden eagle (or the bald eagle)
ANIMALS,$300 ,"The ornate chorus species of these tailless amphibians are less than 2"" in length",frogs
ANIMALS,$400 ,The siamang of Sumatra & Malaysia is the largest type of this smallest ape,a gibbon
ANIMALS,$500 ,This largest toothed whale is also called a cachalot,the sperm whale
ANIMALS,$100 ,The upper part of this turtle feature is called the carapace,Shell
ANIMALS,$200 ,A drone bee's only purpose in life is to do this with the queen & they do it in flight,Mate
ANIMALS,$300 ,The bulldog is a symbol of this country where it was developed,England
ANIMALS,$400 ,"Of sight, hearing, or smell, the sense that is best developed in most seals",Sight
ANIMALS,$500 ,"The 2 species of camel are the Arabian, also called the dromedary & this",Bactrian (2-Humped)
HISTORY,$100 ,"In 1869 it cut the travel distance between London & Bombay by over 4,000 miles",the Suez Canal
HISTORY,$200 ,"When Hannibal was 9, his father forced him to swear eternal hatred for this city",Rome
HISTORY,$300 ,"A March 31, 1492 edict in this country offered the Jews there the choice of baptism or exile",Spain
HISTORY,$400 ,"In 1324 Mali's ruler Mansa Musa made a 4,000-mile pilgrimage to this city, taking a reported 12,000 slaves",Mecca
HISTORY,$500 ,"In 751 Pepin the Short's title was changed from ""Mayor of the Palace"" to ""King of"" these people",the Franks
HISTORY,$200 ,"In 1893, New Zealand became the first country to give women this right",the right to vote
HISTORY,$400 ,"The 2 countries, which, in 1964, merged to form Tanzania",Tanganyika & Zanzibar
HISTORY,$500 ,"During World War II, the United States ruled this island on behalf of Denmark",Greenland
ANIMALS,$200 ,The largemouth species of this fish has a dark band along its side; the smallmouth species does not,Bass
ANIMALS,$400 ,The giraffe is the world's tallest mammal; this is the second tallest,Elephant
HISTORY,$100 ,In 1589 Boris Godunov got this country's Orthodox Church recognized as an independent patriarchate,Russia
HISTORY,$200 ,"When he went to Europe in 1971, he became the first reigning Japanese monarch to travel abroad",Hirohito
HISTORY,$300 ,In 1942 he replaced Gandhi as leader of India's National Congress Party,Nehru
HISTORY,$400 ,"In 1973 Menachem Begin helped form this Israeli political party, a merger of several smaller parties",Likud
HISTORY,$500 ,Great Britain gained most of Eastern Canada from France as a result of this war,the French & Indian War
HISTORY,$200 ,"In October 1936 he was named ""El Caudillo"" of nationalist Spain",Francisco Franco
HISTORY,$400 ,"The Domesday Book was compiled from a survey done in this year, 20 years after the Norman Conquest",1086
HISTORY,$200 ,The Meiji reforms of the 19th century permanently abolished this Japanese warrior class,samurai
HISTORY,$400 ,In 1966 this university's Public Policy program became the Kennedy School of Government,Harvard
MUSIC,$200 ,A male singing voice artificially producing tones above its normal range,a falsetto
MUSIC,$400 ,In Italian this instrument is the corno inglese,the English horn
HISTORY,$400 ,In 1500 Pedro Cabral sailed too far west in rounding Africa & spotted what is now this country on April 22,Brazil
HISTORY,$200 ,As a young man this Mongol leader entered the service of Toghril Khan,Genghis Khan
HISTORY,$400 ,"In 1926 Roald Amundsen flew over the North Pole in the Norge, this type of craft",a dirigible
SPORTS,$100 ,The first bobsled races were held in this mountainous country,Switzerland
SPORTS,$200 ,In 1910 the Intercollegiate Athletic Association changed its name to this,NCAA (National Collegiate Athletic Association)
SPORTS,$300 ,"A 5 iron is a mashie, a 9 iron is a niblick & this is a mashie niblick",7 Iron
SPORTS,$400 ,"Devised by Owen Patrick Smith, this sport was legalized in Florida in 1931",Greyhound/dog racing
SPORTS,$500 ,"Australian Rules, American & Association describe sports that are all named this",Football
SPORTS,$100 ,"On November 30, 1996 this Bulls player became the 10th in NBA history to reach 25,000 career points",Michael Jordan
ANIMALS,$100 ,"In 1956 it was discovered that hamsters could be infected with this ""common"" human malady",the common cold
SPORTS,$200 ,This German won 7 of 9 Wimbledon women's singles titles from 1988-1996,Steffi Graf
ANIMALS,$200 ,"Many American breeds of this animal, like the rambouillet, are raised more for their fleece than for meat",sheep
SPORTS,$300 ,"In 1996 Emmitt Smith, with $16.5 million, & this Dolphins QB, with $11.7 million, led the NFL in total earnings",Dan Marino
ANIMALS,$300 ,This crab's habit of waving its big claw gave it a musical name,the fiddler crab
SPORTS,$400 ,1 of 4 California stadiums that have hosted a Super Bowl,"(1 of) Jack Murphy, L.A. Coliseum, the Rose Bowl & Stanford Stadium"
ANIMALS,$400 ,In 1996 158 of these endangered marine mammals died in a red tide of toxic algae in Florida,manatees
SPORTS,$500 ,"In 1941 this Red Sox star led the major leagues in both batting average, .406, & home runs, 37",Ted Williams
ANIMALS,$500 ,The Canadian government has blamed the decline of this Atlantic food fish partly on the harp seal,the cod
SPORTS,$100 ,A little birdie told us an eagle is a score this many under par on one hole,2
SPORTS,$200 ,"He played in 2,130 consecutive games; no wonder he was the pride of the Yankees",Lou Gehrig
SPORTS,$300 ,"Prior to making Astros out of themselves, the Houston team thought they were ""big shots"" with this name",Colt .45's
SPORTS,$400 ,This Milwaukee NBA team moved to St. Louis in 1955 & then to Atlanta in 1968,Hawks
SPORTS,$500 ,This steel-driving thoroughbred retired in 1985 with career earnings of over $6.5 million,John Henry
SPORTS,$100 ,"From 1982-87, she held the top rank in tennis for all but 22 weeks of a 270-week stretch",Martina Navratilova
SPORTS,$200 ,"Dave ""Tiger"" Williams holds the career record for penalty minutes in this sport with 3,966",Ice Hockey
SPORTS,$300 ,This Dolphins quarterback has passed for over 400 yards in a single game a record 10 times,Dan Marino
SPORTS,$400 ,"In 1993, this Seattle center fielder tied a Major League record by hitting home runs in eight straight games","Ken Griffey, Jr."
SPORTS,$500 ,"In 1980, this U.S. speed skater became the first athlete to win five individual gold medals in one Olympics",Eric Heiden
ANIMALS,$200 ,One in every 6 known bird species makes its home in this rainforest,the Amazon
ANIMALS,$400 ,"Sputniks 5, 6, 9 & 10 also carried these animals into space, & most were recovered alive",dogs
MOVIES,$200 ,"To Dustin Hoffman this '82 film was a ""drag""",Tootsie
MOVIES,$400 ,"Film featuring March & Gaynor, Garland & Mason or Streisand & Kristofferson",A Star Is Born
MUSIC,$200 ,"Legend says one of Haydn's symphonies is nicknamed ""The Queen"" because this queen of France liked it",Marie Antoinette
